ZBUKR	LIFNR	VBLNR	VALUT	ZBNKS	ZBNKL	ZBNKN	RZAWE	EMPFG
3000	0000100001	2000000001	2026-07-11	US	13513621	318776697972	U	0000100001
3000	0000100001	2000000002	2026-05-31	US	13513621	318776697972	C	0000100001
3000	0000100001	2000000003	2026-04-21	US	13513621	318776697972	T	0000100001
3000	0000100001	2000000004	2026-05-07	US	13513621	318776697972	T	0000100001
3000	0000100002	2000000005	2026-04-13	VN	52875273	809708985467	T	0000100002
4000	0000100003	2000000006	2026-09-09	GB	63372958	269700144326	C	0000100003
4000	0000100003	2000000007	2026-08-21	GB	63372958	269700144326	C	0000100003
4000	0000100003	2000000008	2026-02-14	GB	63372958	269700144326	C	0000100003
4000	0000100003	2000000009	2026-04-19	GB	63372958	269700144326	C	0000100003
1000	0000100004	2000000010	2026-04-08	CN	60123335	763385116460	T	0000100004
1000	0000100005	2000000011	2026-04-16	HK	82591120	557315728391	C	0000100005
3000	0000100006	2000000012	2026-03-28	IN	19233859	308734863800	C	0000100006
3000	0000100006	2000000013	2026-02-05	IN	19233859	308734863800	U	0000100006
1000	0000100007	2000000014	2026-03-07	DE	69283550	595831381806	T	0000100007
1000	0000100007	2000000015	2026-03-23	DE	69283550	595831381806	U	0000100007
1000	0000100007	2000000016	2026-05-21	DE	69283550	595831381806	C	0000100007
4000	0000100008	2000000017	2026-04-20	GB	11431442	131330685873	T	0000100008
1000	0000100009	2000000018	2026-07-17	JP	25060113	158273792210	C	0000100009
1000	0000100009	2000000019	2026-05-25	JP	25060113	158273792210	T	0000100009
1000	0000100009	2000000020	2026-07-06	JP	25060113	158273792210	U	0000100009
1000	0000100009	2000000021	2026-08-02	JP	25060113	158273792210	U	0000100009
2000	0000100010	2000000022	2026-06-14	NL	38488137	644664962856	T	0000100010
2000	0000100010	2000000023	2026-09-09	NL	38488137	644664962856	U	0000100010
2000	0000100010	2000000024	2026-06-10	NL	38488137	644664962856	T	0000100010
3000	0000100011	2000000025	2026-03-18	KR	80370885	605553705012	U	0000100011
3000	0000100011	2000000026	2026-08-20	KR	80370885	605553705012	T	0000100011
3000	0000100011	2000000027	2026-08-28	KR	80370885	605553705012	U	0000100011
2000	0000100012	2000000028	2026-04-28	PA	43931340	559766510871	C	0000100012
1000	0000100013	2000000029	2026-09-29	IT	79812432	367696581908	U	0000100013
1000	0000100014	2000000030	2026-07-25	JP	24030534	375028418420	C	0000100014
1000	0000100014	2000000031	2026-05-02	JP	24030534	375028418420	T	0000100014
1000	0000100014	2000000032	2026-09-05	JP	24030534	375028418420	T	0000100014
2000	0000100015	2000000033	2026-06-05	TH	70475841	823714270496	T	0000100015
2000	0000100015	2000000034	2026-06-07	TH	70475841	823714270496	U	0000100015
3000	0000100016	2000000035	2026-06-23	LU	28970842	808793354559	T	0000100016
5000	0000100017	2000000036	2026-02-12	VN	83674687	339478697743	T	0000100017
5000	0000100017	2000000037	2026-05-30	VN	83674687	339478697743	T	THIRDPARTY
1000	0000100018	2000000038	2026-05-12	VN	55903749	864456207768	U	0000100018
1000	0000100018	2000000039	2026-07-24	US	40627634	104485128675	T	0000100018
1000	0000100018	2000000040	2026-04-30	PA	65864541	460623943256	U	0000100018
1000	0000100018	2000000041	2026-04-02	VN	55903749	864456207768	C	0000100018
1000	0000100018	2000000042	2026-06-13	VN	55903749	864456207768	T	0000100018
3000	0000100019	2000000043	2026-08-29	US	41311800	365808356727	T	0000100019
3000	0000100019	2000000044	2026-04-14	US	41311800	365808356727	U	0000100019
3000	0000100019	2000000045	2026-08-06	US	41311800	365808356727	C	0000100019
5000	0000100020	2000000046	2026-06-13	VN	69604418	939457710242	C	0000100020
4000	0000100021	2000000047	2026-06-24	GB	20302676	596738209569	T	0000100021
4000	0000100021	2000000048	2026-10-08	GB	20302676	596738209569	T	0000100021
5000	0000100022	2000000049	2026-03-14	VN	88924248	280403742077	T	0000100022
4000	0000100023	2000000050	2026-09-07	KY	18561128	674823159440	C	0000100023
4000	0000100023	2000000051	2026-06-01	KY	18561128	674823159440	U	0000100023
2000	0000100024	2000000052	2026-08-05	KR	18084238	889700850893	T	0000100024
5000	0000100025	2000000053	2026-05-30	LU	54636595	680249502862	T	0000100025
5000	0000100025	2000000054	2026-08-07	LU	54636595	680249502862	C	0000100025
5000	0000100025	2000000055	2026-02-12	LU	54636595	680249502862	T	0000100025
4000	0000100026	2000000056	2026-05-20	FR	17650072	829557361970	C	0000100026
2000	0000100028	2000000057	2026-10-16	NL	34943365	829681041850	C	0000100028
2000	0000100028	2000000058	2026-03-24	NL	34943365	829681041850	C	0000100028
2000	0000100028	2000000059	2026-05-04	NL	34943365	829681041850	U	0000100028
2000	0000100028	2000000060	2026-03-20	KY	77016273	375007303891	U	0000100028
3000	0000100029	2000000061	2026-05-14	US	75776651	328853862218	U	0000100029
1000	0000100030	2000000062	2026-07-25	PA	36515269	725482487718	C	0000100030
1000	0000100030	2000000063	2026-06-08	NL	55439606	833100509835	T	0000100030
5000	0000100032	2000000064	2026-09-15	MY	82240734	812890665294	T	0000100032
5000	0000100032	2000000065	2026-07-11	MY	82240734	812890665294	C	0000100032
4000	0000100033	2000000066	2026-02-13	GB	24162621	675281329545	U	0000100033
5000	0000100034	2000000067	2026-09-06	VN	73577144	104614502905	C	0000100034
5000	0000100034	2000000068	2026-07-03	VN	73577144	104614502905	T	0000100034
5000	0000100034	2000000069	2026-06-29	VN	73577144	104614502905	T	0000100034
5000	0000100034	2000000070	2026-08-19	CN	39804802	774213862632	T	0000100034
2000	0000100035	2000000071	2026-04-13	CN	53260460	315248908415	U	0000100035
2000	0000100035	2000000072	2026-08-01	CN	53260460	315248908415	C	0000100035
2000	0000100035	2000000073	2026-03-08	CN	53260460	315248908415	T	0000100035
2000	0000100036	2000000074	2026-07-01	NL	86049582	417450724745	T	THIRDPARTY
2000	0000100036	2000000075	2026-03-21	NL	86049582	417450724745	U	0000100036
2000	0000100036	2000000076	2026-05-29	KY	47563244	194256399928	C	0000100036
2000	0000100036	2000000077	2026-06-13	NL	86049582	417450724745	T	0000100036
5000	0000100037	2000000078	2026-05-12	MY	51137183	362213101091	C	0000100037
5000	0000100037	2000000079	2026-06-22	MY	51137183	362213101091	C	0000100037
5000	0000100037	2000000080	2026-05-15	CH	82379369	815427450010	U	0000100037
5000	0000100037	2000000081	2026-07-15	MY	51137183	362213101091	T	0000100037
5000	0000100038	2000000082	2026-06-09	VN	74056924	147902632191	C	0000100038
5000	0000100038	2000000083	2026-03-29	VN	74056924	147902632191	U	0000100038
5000	0000100040	2000000084	2026-04-06	VN	20681562	899357896598	U	0000100040
2000	0000100042	2000000085	2026-04-26	KR	50877545	118322359247	C	0000100042
